Review_Time,Review_Text,rating
2 minggu lalu,"Ini cocok banget buat yg suka pedass , level bisa milih sendiri mau yg pedas nya sedang atau pedas banget bisa , pokok nya mie pedas nomer 1 di indonesia lah , egga usah diragukan lagi soal rasa 👍👍 , kalau saya sih suka nya pesan mie …",5
2 minggu lalu,"Seneng banget di gacoan sini antrinya ga serame cabang lain, walaupun agak lama nunggu makananya tapi its okeyyy🥰",5
2 bulan lalu,"Enakk bangett, tapi recommended siomay nya, hati hati bagi yang krng suka pedas, lvl 1 bagi saya yang GK suka pedas, rasanya sudah pedas sekali, tapi enaakk kokk, harga murah jugaa, tapi harap sabar yaa karena antrinya panjangggg",5
2 bulan lalu,"Warung mie yg selalu rame sama ojol+mahasiswa. Dateng langsung antri buat pesen di muka kadang lamaaaaa karna nunggu antrian depan lagi milih2. Mie terfavorit mie setan, mie pedes yg ga pake kecap karna ga suka kecap, lainnya ada mie angel …",4
2 bulan lalu,"9 September 2021 pukul 19.00, Saya sedang sakit kaki, jadi ga bisa ngantri berdiri lama2. Akhirnya saya ke atas duluan untuk menunggu dan duduk duluan sedangkan istri saya mengantri dibawah. Jarak kami ke antrian selanjutnya hanya selang …",1
2 minggu lalu,"Pemerintah mati""an memutuskan rantai penyebaran corona...eh gacoan menyambung lagi penyebaran corona...harusnya kalo sudah full antrian aplikasi di off kan...jangan sampai berdesak""an kayak gitu...sepertinya pihak gacoan cuek&hanya mementingkan keuntungan semata gak memikirkan nasib ojol yg rela antri ber jam""",1
3 minggu lalu,"Mie nya udah gausah diragukan lagi, enak banget, udah jadi favorit wkwkw. Tapi agak disayangkan harus kepisan sama rombongan padahal cuma berempat dan kami serumah. Kemarin waktu mau ke toilet airnya mati akhirnya gajadi ke toilet.",4
2 bulan lalu,Mie kekinian yang berada di jalan Colombo. Ada beberapa jenis mie dan level kepedasan yang bisa dipilih. Disini hanya tersedia mie goreng. Selain itu ada beberapa pilihan snack dan minuman yang bisa dipilih disini. Melayani makan di tempat …,5
seminggu lalu,Antrinya lama.banyak driver ojol menumpuk jadi gak enak makan di tempat sama jadinya tidak mematuhi protokol kesehatan.banyak kerumunan,1
seminggu lalu,"Berkunjung ke Jogja untuk urusan pekerjaan, dan selama seminggu penuh hampir setiap hari order mie gacoan colombo ini, ada di gojek/grab/shopefood. Recommended untuk pengejar promo (per bulan oktober dan november 2021), di shopeefood ada …",5
2 bulan lalu,"September 2021

Saya seumur hidup baru pertama kali tidak diizinkan oleh kasir makan ditempat, …",1
seminggu lalu,"Mie gacoan Colombo menurut saya tempat paling enak buat nongkrong menikmati suasana keramaian jalan kota. Mie, dimsum nya enak kematangan dan racikan nya pas pelayan disana juga ramah ramah , penyajian pesanan menurut saya cukup cepat …",5
